"20161","YCB1101-83-00","글쓰기","3","신민영","화1,2,목1,2","백S402","21","10","0","N","0","7","7","7","X","36","4","20","9.4"
"20161","YCB1101-84-00","글쓰기","3","이승은","화3,4,목3,4","백S402","21","9","0","N","0","7","7","7","X","36","1","29","13"
"20161","YCB1101-85-00","글쓰기","3","유광수","화5,6,목5,6","백S402","21","20","0","N","0","7","7","7","X","36","1","36","12.45"
"20161","YCB1101-86-00","글쓰기(특례)","3","진영복","화7,8,목7,8","백S402","22","28","0","N","0","8","7","7","X","36","1","36","12.89"
"20161","UCJ1104-01-00","한국미술사","2","최경원","금7,8","교403","90","62","0","N","0","30","30","30","O","36","1","36","11.85"
"20161","UCB1107-01-00","문학의이해","3","이석구,김기옥,고인덕","화1,목2,3","교403","63","29","0","N","0","21","21","21","O","36","1","22","6.83"
"20161","UCB1110-01-00","미학","3","김덕천","화8,9,목7","백S408","63","17","0","N","0","21","21","21","O","36","1","36","10.18"
"20161","UCE1105-01-00","영화의이해","3","장윤선","화2,3,목1","과111","223","247","0","N","0","75","74","74","O","36","1","36","19.59"
"20161","UCE1105-02-00","영화의이해","3","김소연","수7,금7,8","위B09","225","189","0","N","0","75","75","75","O","36","1","36","14.4"
"20161","UCE1107-01-00","음악사","3","지형주","수3,금3,4","교101","153","52","0","N","0","51","51","51","O","36","1","31","8.52"
"20161","UCE1108-01-00","디자인과문화","3","김현경","화7,목8,9","삼B111","108","37","0","N","0","36","36","36","O","36","1","36","14"
"20161","YCD1001-01-00","오래된미래,르네상스","3","김지인","수7,8,9","백S509","63","145","0","N","0","21","21","21","O","36","1","36","19.3"
"20161","YCD1101-01-00","연극의이해","3","마광수","수7,금7,8","백양관강당","153","222","0","N","0","51","51","51","O","36","1","36","13.42"
"20161","YCD1104-01-00","세계문학감상여행","3","최건영","수1,금1,2","외01","108","31","0","N","0","36","36","36","O","36","1","36","10.58"
"20161","YCD1201-01-00","한국문학과문화읽기","3","김현주","화5,6,목4","교303","63","53","0","N","0","21","21","21","O","36","1","36","10.87"
"20161","YCD1602-01-00","대중음악의이해","3","권현석","월3,4,수4","교101","107","363","0","N","0","36","36","35","O","36","1","36","22.63"
"20161","ANT1001-01-00","문화인류학","3","천경효","월2,3,4","빌103","50","77","20","Y","0","0","0","0","O","36","1","36","16.91"
"20161","PHI1001-01-00","서양철학의이해","3","문창옥","월7,8,수8","위415","45","81","0","N","0","0","0","0","O","36","1","36","20.93"
"20161","UCB1101-01-00","한국근현대사","3","홍정완","월5,6,수6","교101","135","168","0","N","0","45","45","45","O","36","1","36","12.37"
"20161","UCB1103-01-00","서양문화의유산","3","라영순","수5,금5,6","교102","178","34","0","N","0","60","59","59","O","36","1","25","9.29"
"20161","UCB1103-02-00","서양문화의유산","3","최재인","화2,3,목1","백S408","180","33","0","N","0","60","60","60","O","36","1","36","8.09"
"20161","UCB1105-01-00","서양철학사","3","김옥경","화4,목5,6","교302","63","101","0","N","0","21","21","21","O","36","1","36","16.67"
"20161","UCD1102-01-00","현대사회와심리학","3","윤소연","수3,금3,4","교102","152","225","0","N","0","51","50","51","O","36","1","36","29.4"
"20161","UCD1102-02-00","현대사회와심리학","3","조지선","화7,목8,9","교101","152","42","0","N","0","51","51","50","O","36","1","36","12.81"
"20161","UCD1107-01-00","우리교육의어제와오늘","3","이원재","화8,9,목7","교303","54","41","0","N","0","18","18","18","O","36","1","36","10.78"
"20161","UCE1102-01-00","미술사","3","송희경","수5,금5,6","교101","153","97","0","N","0","51","51","51","O","36","1","36","10.06"
"20161","YCE1001-01-00","신화와철학","3","이승종","수5,금5,6","교302","63","45","0","N","0","21","21","21","O","36","1","30","12.76"
"20161","YCE1101-01-00","역사란무엇인가","3","설혜심","화4,목5,6","교102","130","66","0","N","0","55","40","35","O","36","1","36","14.17"
"20161","YCE1201-01-00","동아시아의역사와문화","3","문정희","수5,금5,6","교303","90","25","0","N","0","30","30","30","O","36","1","35","10.92"
"20161","YCE1254-01-00","이데올로기와역사의대화","3","홍석민","월3,4,수4","백S208","99","23","0","N","0","33","33","33","O","36","1","35","9.61"
"20161","YCE1255-01-00","유럽도시문화공간으로읽는역사","3","홍석민","월5,6,수6","백S208","99","42","0","N","0","33","33","33","O","36","1","33","8.88"
"20161","YCE1601-01-00","대인관계의심리학","3","이기학","화7,목8,9","위B09","225","315","0","N","0","75","75","75","O","36","1","36","14.19"
"20161","YCE1604-01-00","성과성차의심리","3","양현정","수1,금1,2","위B09","108","96","0","N","0","36","36","36","O","36","1","36","16.63"
"20161","YCE1607-01-00","스트레스의과학과적응의삶","3","양현정","수3,금3,4","위B09","108","67","0","N","0","36","36","36","O","36","1","36","12.03"
"20161","YCE1999-01-00","GREAT BOOKS & DEBATE(책과독서의사회사)","3","권두연","화4,목5,6","백S108","31","1","0","N","0","11","10","10","O","36","7","7","7"
"20161","YCE1999-02-00","GREAT BOOKS & DEBATE(국어의탄생)","3","안예리","월7,8,수8","백S604","31","1","0","N","0","10","11","10","O","36","8","8","8"
"20161","UCB1109-01-00","인간언어란무엇인가","3","강옥경","화4,목5,6","교403","63","91","0","N","0","21","21","21","O","36","1","36","19.75"
"20161","YCF1201-01-00","한문(1)","3","임미정","화1,2,목1(목2)","백S608(백S608)","35","46","0","N","0","12","11","12","X","36","1","35","12.22"
"20161","YCF1201-02-00","한문(1)","3","조기영","수5,6,금5(금6)","교404(교404)","35","17","0","N","0","12","12","11","X","36","1","32","12.18"
"20161","YCF1201-03-00","한문(1)","3","김성은","화7,8,목7(목8)","교404(교404)","36","37","0","N","0","12","12","12","X","36","1","24","9.54"
"20161","YCF1201-04-00","한문(1)","3","김경미","월1,2,수1(수2)","백S509(백S509)","36","18","0","N","0","12","12","12","X","36","1","36","13.11"
"20161","YCF1201-05-00","한문(1)","3","윤현숙","월5,6,수5(수6)","교405(교405)","36","34","0","N","0","12","12","12","X","36","1","36","11.82"
"20161","YCF1201-06-00","한문(1)","3","서현경","화3,4,목3(목4)","백S608(백S608)","36","6","0","N","0","12","12","12","X","36","1","14","4.17"
"20161","YCF1202-01-00","한문(2)","3","김유경","수3,4,금3(금4)","교404(교404)","32","7","0","N","0","11","10","11","O","36","1","36","9.86"
"20161","YCF1202-02-00","한문(2)","3","황수연","화5,6,목5(목6)","교404(교404)","32","12","0","N","0","11","10","11","O","36","1","35","12.25"
"20161","YCF1203-01-00","한문(3)","3","이상욱","화3,4,목3(목4)","교304(교304)","18","3","0","N","0","6","6","6","O","36","1","8","3.33"
"20161","YCF1301-01-00","중국어(1)","3","홍윤희","월3,4,수3(수4)","백S504(백S504)","26","91","0","N","0","9","8","9","X","36","1","36","23.81"
"20161","YCF1301-02-00","중국어(1)","3","진화진","화3,4,목3(목4)","교405(교405)","26","25","0","N","0","9","9","8","X","36","1","36","20.68"
"20161","YCF1301-03-00","중국어(1)","3","신의선","수5,6,금5(금6)","교410(교410)","27","24","0","N","0","9","9","9","X","36","1","36","14.33"
