hyhg,course_code,course_title,credit,instructor,time,room,quota,participants,major_quota,second_major,grande_1,grade_2,grade_3,grade_4,exchange_student,max_mileage,min_result,max_result,average
20161,STA3115-01-00,탐색적자료분석,3,김철응,"화1,목2,3",상본B112,70,48,49,N,0,10,30,30,O,18,1,18,9.31
20161,STA3123-01-00,표본조사론,3,강상욱,"수5,금5,6",상본B112,70,60,49,N,0,10,30,30,O,18,1,18,11.98
20161,STA3124-01-00,확률과정,3,박태영,"화5,6,목4",상본B112,120,86,72,N,0,20,50,50,O,18,1,18,13.12
20161,STA3125-01-00,회귀분석,3,김현태,"월5,6,수6",상본B112,100,102,60,N,0,10,60,30,O,18,1,18,12.42
20161,STA3127-01-00,통계전산,3,김철응,"화2,3,목1",상본B112,70,25,49,N,0,20,30,20,O,18,1,18,5.8
20161,STA3129-01-00,금융리스크관리실무와통계학,3,이상철,"월9,10,11",상본B120,120,106,60,N,0,30,40,50,O,18,1,18,13.62
20161,STA3103-01-00,데이터분석및설계론,3,정원혁,"금1,2,3",상본B101,45,76,22,N,0,10,25,10,O,18,1,18,14.55
20161,STA3104-01-00,범주형자료분석,3,박상언,"월1,2,수2",상본B110,70,40,56,N,0,0,35,35,O,18,1,18,9.98
20161,STA4109-01-00,통계자료분석,3,이학배,"화2,3,목1",상본102,54,21,35,N,0,20,20,14,O,18,1,18,8.67
20161,STA4111-01-00,보험통계,3,왕상미,"수7,금7,8",상본B109,70,34,40,N,0,10,30,30,O,18,1,18,7.44
