course_code,course_title
UCK1149,RESEARCH AND PRESENTATION IN ENGLISH(ADV)
UCK1150,WORLD ISSUES: ENGLISH THROUGH THE MEDIA(ADV)
UCK1151,동영상으로배우는일본어
UCK1153,BASIC SPANISH
UCK1154,문화로배우는일본어
UCK1156,RESEARCH AND PRESENTATION IN ENGLISH(HONORS)
UCK1157,PROFESSIONAL TRANSLATION(HONORS)
UCK1158,WORLD ISSUES: ENGLISH THROUGH THE MEDIA(HONORS)
UCK1159,CAREER DEVELOPMENT ENGLISH(HONORS)
UCK1161,CREATIVE WRITING(ADV)
UCL1101,테니스
UCL1101,테니스(P/NP)
UCL1102,축구
UCL1102,축구(P/NP)
UCL1103,수영
UCL1103,수영(P/NP)
UCL1104,농구
UCL1104,농구(P/NP)
UCL1105,골프(P/NP)
UCL1105,골프
UCL1106,펜싱(P/NP)
UCL1108,호신술(P/NP)
UCL1109,체력육성
UCL1109,체력육성(P/NP)
UCL1110,포크댄스(P/NP)
UCL1110,포크댄스
UCL1111,배드민턴
UCL1111,배드민턴(P/NP)
UCL1112,탁구
UCL1112,탁구(P/NP)
UCL1115,댄스스포츠
UCL1116,재즈댄스
UCL1117,탈춤(P/NP)
UCL1119,태권도
UCL1119,태권도(P/NP)
UCL1121,요가
UCL1121,요가(P/NP)
UCL1124,골프(중급)
UCL1124,골프(중급)(P/NP)
UCL1127,수영(중급)(P/NP)
UCL1127,수영(중급)
UCL1129,장애인스포츠(2)(P/NP)
UCL1207,검도(P/NP)
UCL1207,검도
UCL1209,힙합댄스
UCL1209,힙합댄스(P/NP)
UCL1210,풋살(P/NP)
UCL1212,산악자전거
UCL1214,야구
UCL1215,필라테스(P/NP)
UCL1215,필라테스
UCL1216,럭비
UCL1217,볼링(P/NP)
UCL1218,하키(P/NP)
UCL1219,여성파워다이어트
UCL1219,여성파워다이어트(P/NP)
UCL1220,K양생체조(P/NP)
UCL1222,라인댄스(P/NP)
UCL1202,인간과건강
UCL1203,건강과운동
UCL1204,현대사회와스포츠
UCL1201,현대인의생활영양
UCL1205,현대사회와정신건강
UCG1145,근현대한국사회와연세
UCG1104,한국근현대의민중과생활
UCG1106,한국문화유산의이해
UCG1107,그리스신화의이해
UCG1108,컴퓨터게임과문화
UCG1109,현대철학의문제
UCG1112,글로벌시대의세계종교
UCG1116,법·종교·사회정의
UCG1117,인간행동의심리적이해
UCG1118,성의역사
UCG1122,현대사회와윤리문제
UCG1130,동아시아신화기행
UCG1139,논증과비판
UCG1140,명상철학
UCG1142,실용논리
UCG1131,명저읽기
UCI2001,사회봉사(가양4종합복지관 자원봉사)
UCI2001,사회봉사(튜터링프로그램)
UCI2001,사회봉사(세브란스병원 자원봉사)
UCI2001,사회봉사(리더십 멘토링 선 봉사 후 학점인정)
UCI2001,사회봉사(은평천사원 자원봉사)
UCI2001,사회봉사(자유선택 자원봉사활동)
UCI2001,사회봉사(희망원정대-선 봉사후 학점인정)
UCI2001,사회봉사(재활학교 장애우 자원봉사)
UCI2001,사회봉사(동행프로젝트)
UCI2001,사회봉사(한국어.한국문화를 통한 국제교류프로그램A)
UCI2001,사회봉사(한국어.한국문화를 통한 국제교류프로그램B)
UCI2001,사회봉사(함께나누는 세상A)
UCI2001,사회봉사(함께나누는 세상D)
UCI2001,사회봉사(YDMC-전공알리미 봉사활동)
UCI2001,사회봉사(시각장애인 희망나눔교실)
UCI1155,진로와미래
UCI1162,취업과성공
UCI1164,여성리더십특강-내꿈의직업으로의여행
UCI1101,성과문화적재현
UCI1103,현대사회의과제
UCI1104,인구와미래
UCI1105,노동시장과커리어의사회학
UCI1109,법과사회질서
UCI1122,매스컴과현대사회
UCI1123,일의세계와심리학
UCI1124,페미니즘의이해
UCI1133,국제기구와국제관계
UCI1137,자유민주주의와시민사회
UCI1138,정치경제학
UCI1140,남북한관계론
UCI1142,성과인간관계
UCI1152,한국민주주의와한반도평화
HUM4001,인문학자양성세미나
KOR1001,한국어문학의이해
KOR1101,우리말연구의첫걸음
KOR1102,문학이란무엇인가
KOR1106,한국고전문학의이해
KOR2304,시쓰기
KOR2306,고전소설의이해
KOR2309,현대소설읽기
KOR2313,한국문학해석론
KOR2414,외국어로서의한국어교육론
KOR2506,한문학의이해
KOR2510,현대문화이론
KOR3406,우리말의어제와오늘
KOR3313,고려가요론
KOR3404,국어통사론
KOR3501,한국한문학작가론
KOR3514,국어교육론
KOR3515,이야기와한국사회
KOR3520,텍스트분석과작성
KOR3528,한국어말뭉치언어학의이해
KOR3529,한국문학과역사
KOR4311,한국근대문학원전읽기
KOR4404,국어사전편찬학
KOR4408,한국어이해교육론
KOR4507,구술과서사
KOR4508,고전문학과공간
CLL2101,중국어학입문
CLL3304,중급중국어쓰기
CLL2401,역대산문선독
CLL3303,중급중국어독해
CLL3308,중국어실용교육어법(1)
CLL3401,중국고대문학사
CLL3403,중국문언소설선독
CLL3412,중국현대소설선독
CLL3413,중국사곡선독
CLL3415,시경
CLL3504,중국어음운론
CLL3505,현대한자론
CLL4303,고급중국어말하기
CLL4301,고급중국어독해
CLL4601,중국문화론특강
CLL4606,중국어발제와토론
CLL4607,중국어교수법
ELL2101,영어학입문
ELL2001,영어글쓰기(1)
ELL2002,영어말하기와토론
ELL2003,영어글쓰기(2)
ELL2004,주니어세미나(영어어휘분석및학습전략)
ELL2004,주니어세미나(추리소설읽기)
ELL2502,미국문학개관
ELL2503,영국문학개관(1)
ELL2902,통번역입문
ELL3304,영어어법연구
ELL3305,서정시의기본
ELL3701,현대영국소설
ELL3101,영어음성학
ELL3306,영국사상
ELL3307,영어변천사
ELL3309,영어사용과사회
ELL3703,19세기 영국 소설 (1)
ELL3904,중세영문학
ELL3407,소설과영화의플롯
ELL3911,영어교육접근법
ELL3912,영어발표와의사소통
ELL3913,고급영어글쓰기
ELL3917,영어전산언어학
ELL3923,심리언어학의이해
ELL3925,아시아계미국희곡
ELL4907,코퍼스의분석과활용
